drug,protein,label
1,1,0
2,2,1
3,3,0
4,4,1
5,5,0
1,6,0
6,7,0
7,8,1
3,9,0
8,10,0
9,11,0
10,12,1
8,13,0
11,14,0
3,15,0
12,16,0
13,17,0
14,18,1
15,19,0
0,20,0
0,21,0
16,22,0
17,23,1
5,24,0
18,25,0
19,26,0
20,27,0
21,28,0
22,29,0
23,30,0
24,31,0
22,32,0
25,33,0
26,26,0
2,34,0
18,35,1
8,36,0
9,37,1
27,38,0
28,39,0
29,40,0
28,41,0
30,42,0
31,43,1
32,44,0
33,45,0
34,28,1
19,46,1
31,47,0
18,48,1
30,49,0
35,50,0
36,51,1
37,19,0
19,52,0
27,2,1
38,53,1
17,3,1
39,49,1
40,54,0
37,55,0
15,56,0
41,57,0
9,58,0
32,59,1
6,60,0
5,61,0
42,62,0
25,63,0
43,64,1
38,65,1
18,66,1
27,67,0
1,68,1
30,69,0
44,70,1
32,71,0
23,72,0
45,56,1
46,73,0
37,74,1
45,71,0
1,75,0
21,15,1
47,68,0
14,16,0
39,46,1
13,76,0
48,77,0
34,10,0
49,78,1
43,79,0
19,68,1
42,80,0
37,81,1
42,9,0
27,82,1
50,83,0
43,84,0
33,68,0
22,85,1
14,86,0
29,87,0
0,88,0
45,89,1
51,90,0
52,68,1
34,91,1
53,26,0
54,71,1
31,92,0
46,93,0
34,28,0
30,47,0
10,5,1
55,53,1
40,91,0
11,94,0
16,95,1
30,96,0
22,97,0
44,71,0
38,98,0
51,99,0
30,71,0
36,28,1
48,57,0
29,100,0
56,89,1
31,101,0
24,102,0
43,46,1
33,103,0
38,68,1
57,104,0
39,71,0
25,2,0
44,46,1
4,12,0
19,59,0
51,105,1
17,71,0
18,82,1
52,50,0
6,104,0
45,106,0
49,107,1
45,53,0
22,108,0
35,43,0
58,56,0
47,109,0
33,46,0
46,110,1
4,111,0
33,34,0
23,28,0
34,28,1
59,112,1
39,71,0
35,32,0
29,113,0
60,35,0
51,16,1
61,61,1
62,114,0
9,115,0
2,21,0
35,116,1
39,68,1
44,117,0
63,53,1
6,96,0
23,2,1
64,118,0
15,46,1
40,56,0
42,68,0
65,119,1
15,120,0
